consensus,mec_count,consumer_id,run_id,service_id,phase,value_ms,has_success,aggregation
clique,10,4,15,serviceabb30e2e,provider_deploy,9505,1,per_service
clique,10,4,15,serviceabb30e2e,vxlan_setup,402,1,per_service
clique,10,4,15,serviceabb30e2e,postcheck,1134,1,per_service
clique,10,4,15,serviceabb30e2e,total,21480,1,per_service
clique,10,4,16,servicea34b94ef,bid_collection,9548,1,per_service
clique,10,4,16,servicea34b94ef,winner_selection,316,1,per_service
clique,10,4,16,servicea34b94ef,provider_deploy,9434,1,per_service
clique,10,4,16,servicea34b94ef,vxlan_setup,547,1,per_service
clique,10,4,16,servicea34b94ef,postcheck,1096,1,per_service
clique,10,4,16,servicea34b94ef,total,20942,1,per_service
clique,10,4,17,service34cc5152,bid_collection,9743,1,per_service
clique,10,4,17,service34cc5152,winner_selection,338,1,per_service
clique,10,4,17,service34cc5152,provider_deploy,9622,1,per_service
clique,10,4,17,service34cc5152,vxlan_setup,396,1,per_service
clique,10,4,17,service34cc5152,postcheck,1123,1,per_service
clique,10,4,17,service34cc5152,total,21223,1,per_service
clique,10,4,18,serviceb65370db,bid_collection,6003,1,per_service
clique,10,4,18,serviceb65370db,winner_selection,374,1,per_service
clique,10,4,18,serviceb65370db,provider_deploy,9424,1,per_service
clique,10,4,18,serviceb65370db,vxlan_setup,368,1,per_service
clique,10,4,18,serviceb65370db,postcheck,1153,1,per_service
clique,10,4,18,serviceb65370db,total,17322,1,per_service
clique,10,4,19,serviceb2f8e4ed,bid_collection,9317,1,per_service
clique,10,4,19,serviceb2f8e4ed,winner_selection,276,1,per_service
clique,10,4,19,serviceb2f8e4ed,provider_deploy,9854,1,per_service
clique,10,4,19,serviceb2f8e4ed,vxlan_setup,448,1,per_service
clique,10,4,19,serviceb2f8e4ed,postcheck,1073,1,per_service
clique,10,4,19,serviceb2f8e4ed,total,20968,1,per_service
clique,10,4,2,service6f9a0379,bid_collection,7480,1,per_service
clique,10,4,2,service6f9a0379,winner_selection,334,1,per_service
clique,10,4,2,service6f9a0379,provider_deploy,9513,1,per_service
clique,10,4,2,service6f9a0379,vxlan_setup,475,1,per_service
clique,10,4,2,service6f9a0379,postcheck,1104,1,per_service
clique,10,4,2,service6f9a0379,total,18907,1,per_service
clique,10,4,20,servicec98be2c2,bid_collection,5616,1,per_service
clique,10,4,20,servicec98be2c2,winner_selection,314,1,per_service
clique,10,4,20,servicec98be2c2,provider_deploy,9625,1,per_service
clique,10,4,20,servicec98be2c2,vxlan_setup,318,1,per_service
clique,10,4,20,servicec98be2c2,postcheck,1126,1,per_service
clique,10,4,20,servicec98be2c2,total,17000,1,per_service
clique,10,4,3,service2d1ab325,bid_collection,3968,1,per_service
clique,10,4,3,service2d1ab325,winner_selection,458,1,per_service
