consensus,mec_count,provider_id,run_id,phase,value_ms,won_any,aggregation
clique,30,1,8,announce_wait,332,1,per_run
clique,30,1,8,bid_sending,3144,1,per_run
clique,30,1,8,winner_wait,7159,1,per_run
clique,30,1,8,confirm_all,21397,1,per_run
clique,30,1,9,announce_wait,312,0,per_run
clique,30,1,9,bid_sending,2776,0,per_run
clique,30,1,9,winner_wait,9743,0,per_run
clique,30,2,1,announce_wait,268,0,per_run
clique,30,2,1,bid_sending,2966,0,per_run
clique,30,2,1,winner_wait,7032,0,per_run
clique,30,2,10,announce_wait,296,0,per_run
clique,30,2,10,bid_sending,2910,0,per_run
clique,30,2,10,winner_wait,7239,0,per_run
clique,30,2,11,announce_wait,306,0,per_run
clique,30,2,11,bid_sending,2684,0,per_run
clique,30,2,11,winner_wait,7577,0,per_run
clique,30,2,12,announce_wait,271,0,per_run
clique,30,2,12,bid_sending,2978,0,per_run
clique,30,2,12,winner_wait,6924,0,per_run
clique,30,2,13,announce_wait,354,0,per_run
clique,30,2,13,bid_sending,2852,0,per_run
clique,30,2,13,winner_wait,7236,0,per_run
clique,30,2,14,announce_wait,307,0,per_run
clique,30,2,14,bid_sending,2894,0,per_run
clique,30,2,14,winner_wait,6890,0,per_run
clique,30,2,15,announce_wait,284,1,per_run
clique,30,2,15,bid_sending,3023,1,per_run
clique,30,2,15,winner_wait,7070,1,per_run
clique,30,2,15,confirm_all,19709,1,per_run
clique,30,2,16,announce_wait,307,0,per_run
clique,30,2,16,bid_sending,2905,0,per_run
clique,30,2,16,winner_wait,7324,0,per_run
clique,30,2,17,announce_wait,281,0,per_run
clique,30,2,17,bid_sending,3025,0,per_run
clique,30,2,17,winner_wait,7124,0,per_run
clique,30,2,18,announce_wait,260,0,per_run
clique,30,2,18,bid_sending,2982,0,per_run
clique,30,2,18,winner_wait,7152,0,per_run
clique,30,2,19,announce_wait,300,0,per_run
clique,30,2,19,bid_sending,2944,0,per_run
clique,30,2,19,winner_wait,6514,0,per_run
clique,30,2,2,announce_wait,357,0,per_run
clique,30,2,2,bid_sending,2876,0,per_run
clique,30,2,2,winner_wait,7247,0,per_run
clique,30,2,20,announce_wait,408,1,per_run
clique,30,2,20,bid_sending,3168,1,per_run
clique,30,2,20,winner_wait,6762,1,per_run
clique,30,2,20,confirm_all,20219,1,per_run
clique,30,2,3,announce_wait,292,0,per_run
clique,30,2,3,bid_sending,3199,0,per_run
clique,30,2,3,winner_wait,6611,0,per_run
clique,30,2,4,announce_wait,353,0,per_run
clique,30,2,4,bid_sending,2967,0,per_run
clique,30,2,4,winner_wait,7330,0,per_run
clique,30,2,5,announce_wait,357,0,per_run
clique,30,2,5,bid_sending,2876,0,per_run
clique,30,2,5,winner_wait,7247,0,per_run
clique,30,2,6,announce_wait,355,0,per_run
clique,30,2,6,bid_sending,3361,0,per_run
clique,30,2,6,winner_wait,6643,0,per_run
clique,30,2,7,announce_wait,313,0,per_run
