consensus,mec_count,provider_id,run_id,file,won_any,p_announce_wait_ms,p_bid_sending_ms,p_winner_wait_ms,p_confirm_all_ms
qbft,20,1,12,qbft/20-mecs/provider_1_run_12.csv,0,212,1675,8274,
qbft,20,1,13,qbft/20-mecs/provider_1_run_13.csv,0,180,1689,8197,
qbft,20,1,14,qbft/20-mecs/provider_1_run_14.csv,1,5055,1631,8686,33735
qbft,20,1,15,qbft/20-mecs/provider_1_run_15.csv,0,201,1769,8259,
qbft,20,1,16,qbft/20-mecs/provider_1_run_16.csv,1,206,1626,8470,32970
qbft,20,1,17,qbft/20-mecs/provider_1_run_17.csv,0,4821,1628,8777,
qbft,20,1,18,qbft/20-mecs/provider_1_run_18.csv,0,150,1610,8259,
qbft,20,1,19,qbft/20-mecs/provider_1_run_19.csv,1,161,1575,8455,33853
qbft,20,1,2,qbft/20-mecs/provider_1_run_2.csv,0,278,2227,7622,
qbft,20,1,20,qbft/20-mecs/provider_1_run_20.csv,0,177,1655,8353,
qbft,20,1,3,qbft/20-mecs/provider_1_run_3.csv,1,248,1873,8032,33440
qbft,20,1,4,qbft/20-mecs/provider_1_run_4.csv,0,186,1989,8166,
qbft,20,1,5,qbft/20-mecs/provider_1_run_5.csv,0,199,1879,8215,
qbft,20,1,6,qbft/20-mecs/provider_1_run_6.csv,0,187,1679,8546,
qbft,20,1,7,qbft/20-mecs/provider_1_run_7.csv,0,199,1879,8215,
qbft,20,1,8,qbft/20-mecs/provider_1_run_8.csv,0,187,1671,8539,
qbft,20,1,9,qbft/20-mecs/provider_1_run_9.csv,1,210,1831,8062,32872
qbft,20,2,1,qbft/20-mecs/provider_2_run_1.csv,1,313,2663,7332,35804
qbft,20,2,10,qbft/20-mecs/provider_2_run_10.csv,0,192,1770,8237,
qbft,20,2,11,qbft/20-mecs/provider_2_run_11.csv,0,181,1561,8609,
qbft,20,2,12,qbft/20-mecs/provider_2_run_12.csv,1,173,1627,8108,34244
qbft,20,2,13,qbft/20-mecs/provider_2_run_13.csv,1,171,1690,8385,34601
qbft,20,2,14,qbft/20-mecs/provider_2_run_14.csv,0,4960,1750,8662,
