consensus,mec_count,consumer_id,run_id,file,service_id,has_success,c_bid_collection_ms,c_winner_selection_ms,c_provider_deploy_ms,c_vxlan_setup_ms,c_postcheck_ms,c_total_ms
clique,20,11,3,clique/20-mecs/consumer_11_run_3.csv,service1757755853860,1,8225,318,34408,249,1097,44297
clique,20,11,4,clique/20-mecs/consumer_11_run_4.csv,service1757755980826,1,10511,334,19288,228,1138,31499
clique,20,11,5,clique/20-mecs/consumer_11_run_5.csv,service1757756112579,1,8632,346,34234,238,1114,44565
clique,20,11,6,clique/20-mecs/consumer_11_run_6.csv,service1757755853860,1,8225,318,34408,249,1097,44297
clique,20,11,7,clique/20-mecs/consumer_11_run_7.csv,service1757755853860,1,8225,318,34408,249,1097,44297
clique,20,11,8,clique/20-mecs/consumer_11_run_8.csv,service1757755853860,1,8225,318,34408,249,1097,44297
clique,20,11,9,clique/20-mecs/consumer_11_run_9.csv,service1757756578788,1,8219,335,29323,241,1122,39240
clique,20,12,1,clique/20-mecs/consumer_12_run_1.csv,service1757755598706,1,7975,431,38591,519,1050,48567
clique,20,12,10,clique/20-mecs/consumer_12_run_10.csv,service1757756708996,1,7928,299,39587,962,1081,49857
clique,20,12,11,clique/20-mecs/consumer_12_run_11.csv,service1757756837356,1,9377,317,39085,689,1062,50530
clique,20,12,12,clique/20-mecs/consumer_12_run_12.csv,service1757756967154,1,8544,313,39240,877,1080,50055
clique,20,12,13,clique/20-mecs/consumer_12_run_13.csv,service1757757096941,1,9970,311,39255,670,1053,51259
clique,20,12,14,clique/20-mecs/consumer_12_run_14.csv,service1757757225636,1,10394,309,34352,1101,1053,47209
clique,20,12,15,clique/20-mecs/consumer_12_run_15.csv,service1757757357379,1,9335,305,39391,690,1062,50784
clique,20,12,16,clique/20-mecs/consumer_12_run_16.csv,service1757757490818,1,6045,283,39526,1139,1054,48047
clique,20,12,17,clique/20-mecs/consumer_12_run_17.csv,service1757757615306,1,10831,328,9238,925,1058,22381
clique,20,12,18,clique/20-mecs/consumer_12_run_18.csv,service1757757747824,1,9158,329,39234,741,1051,50513
clique,20,12,19,clique/20-mecs/consumer_12_run_19.csv,service1757757878627,1,7926,284,39391,576,1060,49237
clique,20,12,2,clique/20-mecs/consumer_12_run_2.csv,service1757755725562,1,6357,327,39320,551,1056,47611
clique,20,12,20,clique/20-mecs/consumer_12_run_20.csv,service1757758007545,1,8497,293,39398,1046,1054,50288
clique,20,12,3,clique/20-mecs/consumer_12_run_3.csv,service1757755853144,1,8161,319,29515,1385,1056,40436
clique,20,12,4,clique/20-mecs/consumer_12_run_4.csv,service1757755980917,1,10626,320,24195,1258,1065,37464
clique,20,12,5,clique/20-mecs/consumer_12_run_5.csv,service1757756112977,1,8578,308,9305,1103,1051,20345
clique,20,12,6,clique/20-mecs/consumer_12_run_6.csv,service1757755853144,1,8161,319,29515,1385,1056,40436
clique,20,12,7,clique/20-mecs/consumer_12_run_7.csv,service1757755853144,1,8161,319,29515,1385,1056,40436
clique,20,12,8,clique/20-mecs/consumer_12_run_8.csv,service1757755853144,1,8161,319,29515,1385,1056,40436
clique,20,12,9,clique/20-mecs/consumer_12_run_9.csv,service1757756578476,1,8123,300,34388,693,1062,44566
clique,20,13,1,clique/20-mecs/consumer_13_run_1.csv,service1757755598984,1,8529,862,7123,762,1164,18440
clique,20,13,10,clique/20-mecs/consumer_13_run_10.csv,service1757756708625,1,8511,482,8945,359,1166,19464
clique,20,13,11,clique/20-mecs/consumer_13_run_11.csv,service1757756837943,1,9173,525,8814,357,1200,20072
clique,20,13,12,clique/20-mecs/consumer_13_run_12.csv,service1757756967755,1,9403,484,13162,345,1197,24592
clique,20,13,13,clique/20-mecs/consumer_13_run_13.csv,service1757757096221,1,10351,630,8392,366,1188,20928
clique,20,13,14,clique/20-mecs/consumer_13_run_14.csv,service1757757225810,1,10810,452,18740,282,1167,31451
clique,20,13,15,clique/20-mecs/consumer_13_run_15.csv,service1757757357390,1,9446,474,13912,365,1193,25391
clique,20,13,16,clique/20-mecs/consumer_13_run_16.csv,service1757757490733,1,6061,439,8962,301,1157,16921
clique,20,13,17,clique/20-mecs/consumer_13_run_17.csv,service1757757615943,1,11047,466,13716,327,1135,26692
clique,20,13,18,clique/20-mecs/consumer_13_run_18.csv,service1757757747526,1,9578,428,8466,321,1160,19953
clique,20,13,19,clique/20-mecs/consumer_13_run_19.csv,service1757757878946,1,8257,382,8768,293,1143,18843
clique,20,13,2,clique/20-mecs/consumer_13_run_2.csv,service1757755725921,1,7083,580,13012,426,1203,22305
clique,20,13,20,clique/20-mecs/consumer_13_run_20.csv,service1757758007849,1,8672,483,9964,379,1166,20664
clique,20,13,3,clique/20-mecs/consumer_13_run_3.csv,service1757755853653,1,8592,661,8564,356,1145,19318
clique,20,13,4,clique/20-mecs/consumer_13_run_4.csv,service1757755980715,1,10894,572,28400,332,1181,41379
clique,20,13,5,clique/20-mecs/consumer_13_run_5.csv,service1757756112939,1,8986,491,13437,340,1170,24424
clique,20,13,6,clique/20-mecs/consumer_13_run_6.csv,service1757755853653,1,8592,661,8564,356,1145,19318
clique,20,13,7,clique/20-mecs/consumer_13_run_7.csv,service1757755853653,1,8592,661,8564,356,1145,19318
clique,20,13,8,clique/20-mecs/consumer_13_run_8.csv,service1757755853653,1,8592,661,8564,356,1145,19318
clique,20,13,9,clique/20-mecs/consumer_13_run_9.csv,service1757756578374,1,8689,539,13568,350,1165,24311
clique,20,14,1,clique/20-mecs/consumer_14_run_1.csv,service1757755598384,1,8684,748,12144,580,1224,23381
